method,params,silhouette,davies_bouldin,calinski_harabasz,fraud_rate,fraud_count,normal_count,n_clusters,min_cluster_size,max_cluster_size,avg_cluster_size,n_outliers,outlier_rate,composite_score,silhouette_valid,davies_bouldin_valid,fraud_rate_valid
KMeans,"{'k': 2, 'init': 'k-means++'}",0.4410195430229946,1.0162800235404843,159122.1730517812,9.168,91680,908320,2,91680,908320,500000.0,0,0.0,0.7761691341566246,True,True,True
DBSCAN,"{'eps': 0.7, 'min_samples': 30}",0.2572597957687748,0.659745148484782,134247.2460289675,10.4449,104449,895551,12,985,642685,74629.25,104449,10.4449,0.7706459986846432,True,True,True
KMeans,"{'k': 3, 'init': 'k-means++'}",0.46199537120692974,1.0842457410684028,181329.5913026327,6.463099999999999,64631,935369,3,64631,792459,333333.3333333333,0,0.0,0.7604566582822215,True,True,False
GMM,"{'n_components': 3, 'covariance_type': 'full'}",0.4625165885100402,1.1384525185888075,180572.2695546324,6.4616999999999996,64617,935383,3,64617,782392,333333.3333333333,0,0.0,0.7574673709143519,True,True,False
GMM,"{'n_components': 2, 'covariance_type': 'full'}",0.3961140743494011,1.4142235372531253,163070.56125994952,15.512500000000001,155125,844875,2,155125,844875,500000.0,0,0.0,0.741265351214811,True,True,False
GMM,"{'n_components': 2, 'covariance_type': 'diag'}",0.7711710198857764,0.83582772330052,80321.16868803454,0.5899,5899,994101,2,5899,994101,500000.0,0,0.0,0.6629875695088903,True,True,False
KMeans,"{'k': 4, 'init': 'k-means++'}",0.4952761373833033,0.6298844216620402,144125.81812565462,9.999999999999999e-05,1,999999,4,1,846780,250000.0,0,0.0,0.6150612903849286,True,True,False
IsolationForest,"{'contamination': 0.05, 'n_estimators': 150}",0.0,999.0,0.0,4.9999,49999,950001,1,950001,950001,950001.0,49999,4.9999,0.31810428571428573,False,False,False
IsolationForest,"{'contamination': 0.03, 'n_estimators': 200}",0.0,999.0,0.0,3.0,30000,970000,1,970000,970000,970000.0,30000,3.0,0.2609642857142857,False,False,False
IsolationForest,"{'contamination': 0.01, 'n_estimators': 100}",0.0,999.0,0.0,0.9230999999999999,9231,990769,1,990769,990769,990769.0,9231,0.9230999999999999,0.2016242857142857,False,False,False
