method,composite_score,silhouette,davies_bouldin,fraud_rate,n_clusters,fraud_count
KMeans,0.7761691341566246,0.4410195430229946,1.0162800235404843,9.168,2,91680
DBSCAN,0.7706459986846432,0.2572597957687748,0.659745148484782,10.4449,12,104449
KMeans,0.7604566582822215,0.46199537120692974,1.0842457410684028,6.463099999999999,3,64631
GMM,0.7574673709143519,0.4625165885100402,1.1384525185888075,6.4616999999999996,3,64617
GMM,0.741265351214811,0.3961140743494011,1.4142235372531253,15.512500000000001,2,155125
GMM,0.6629875695088903,0.7711710198857764,0.83582772330052,0.5899,2,5899
KMeans,0.6150612903849286,0.4952761373833033,0.6298844216620402,9.999999999999999e-05,4,1
IsolationForest,0.31810428571428573,0.0,999.0,4.9999,1,49999
IsolationForest,0.2609642857142857,0.0,999.0,3.0,1,30000
IsolationForest,0.2016242857142857,0.0,999.0,0.9230999999999999,1,9231
